COUNTRY,CITY,YEAR,PM25,latitude,longitude,POPULATION,WBINC16,REGION,CONC_PM25,COLOR_PM25,GEOM
Switzerland,Meyrin,2011,16.00961565,46.23107153,6.074174944,19548,High income,Europe (HIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":6.07417,""y"":46.2311,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Moleno,2011,18.8737212,46.27975405,8.994836262,8645,High income,Europe (HIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":8.99484,""y"":46.2798,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Morges,2011,17.91901935,46.51139117,6.499581885,14154,High income,Europe (HIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":6.49958,""y"":46.5114,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Muttenz,2011,16.8908789,47.53819248,7.648213502,16654,High income,Europe (HIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":7.64821,""y"":47.5382,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Neuchatel,2011,13.87989614,46.99435667,6.932724353,84012,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":6.93272,""y"":46.9944,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Nyon,2011,17.62526493,46.38366542,6.228400576,16182,High income,Europe (HIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":6.2284,""y"":46.3837,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Olten,2011,13.95333474,47.35311588,7.898293442,16757,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":7.89829,""y"":47.3531,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Opfikon,2011,16.08305425,47.43872743,8.5701198,15573,High income,Europe (HIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":8.57012,""y"":47.4387,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Payerne,2011,12.2,46.81305971,6.944476444,8938,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":6.94448,""y"":46.8131,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Porrentruy,2011,13.2923873,47.41869406,7.077868141,8374,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":7.07787,""y"":47.4187,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Rapperswil,2011,14.24708916,47.22754169,8.823229222,2399,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":8.82323,""y"":47.2275,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Reiden,2011,17.25807192,47.23872422,7.961099876,5958,High income,Europe (HIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":7.9611,""y"":47.2387,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Rigi,2011,6.9,47.06740495,8.463330456,8645,High income,Europe (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":8.46333,""y"":47.0674,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Rothenbrunnen,2011,10.28140455,46.76428744,9.422593718,422,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":9.42259,""y"":46.7643,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Saxon,2011,17.40494912,46.13898845,7.148328604,3312,High income,Europe (HIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":7.14833,""y"":46.139,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Schonenbuch,2011,13.2189487,47.53229393,7.501768653,1245,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":7.50177,""y"":47.5323,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Schwyz,2011,14.76115938,47.01702594,8.647518316,13802,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":8.64752,""y"":47.017,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Switzerland,Sion,2011,15.20179101,46.22019926,7.341956917,28324,High income,Europe (HIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":7.34196,""y"":46.2202,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
