COUNTRY,CITY,YEAR,PM25,latitude,longitude,POPULATION,WBINC16,REGION,CONC_PM25,COLOR_PM25,GEOM
Australia,Albury,2014,6.911190765,-36.050349,146.942048,26644,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":146.942,""y"":-36.0503,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Bathurst,2014,6.32957972,-33.401922,149.57459,31292,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":149.575,""y"":-33.4019,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Bunbury,2014,7.8,-33.3416,115.6433,64384,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":115.643,""y"":-33.3416,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Busselton,2014,7.2,-33.6482,115.352,21405,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":115.352,""y"":-33.6482,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Collie,2014,8.328901734,-33.3599,116.1468,6999,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":116.147,""y"":-33.3599,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Darwin,2014,8.1,-12.425085,130.897362,106257,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":130.897,""y"":-12.4251,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Geraldton,2014,9.673672326,-28.7695,114.6323,31348,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":114.632,""y"":-28.7695,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Muswellbrook,2014,9.699433428,-32.271594,150.885706,11045,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":150.886,""y"":-32.2716,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Newcastle,2014,7.429150964,-32.874116,151.6969547,372633,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":151.697,""y"":-32.8741,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Palmerston,2014,9.3,-12.507763,130.948279,27703,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":130.948,""y"":-12.5078,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Perth,2014,7.95,-31.872675,115.8228,1861108,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":115.823,""y"":-31.8727,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Singleton,2014,7.765915493,-32.557395,151.176929,13962,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":151.177,""y"":-32.5574,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Sydney,2014,7.679642593,-33.90415413,150.883273,4505341,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":150.883,""y"":-33.9042,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Tamworth,2014,6.85901119,-31.108839,150.91541,36132,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":150.915,""y"":-31.1088,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Wagga Wagga,2014,7.456980057,-35.104134,147.360298,52043,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":147.36,""y"":-35.1041,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
